nome,altura,largura,profundidade,peso,image_url,L_imagem,predict
 Cadeira de Escritório Presidente Big Monique Preto</,122.0,64.0,76.0,13.0,https://product-hub-prd.madeiramadeira.com.br/1590515/images/6422690b-fd2b-4838-8c84-0d14c898cfcb03ae5ca014573d6ea543d27da9.png,599287936,54
Cadeira de Escritório Presidente Havana Comprealegre ,120.0,62.0,62.0,6.0,https://product-hub-prd.madeiramadeira.com.br/2773544/images/fab1fbc7-f070-43c0-ae32-863647519dca34733952cadeiraescritoriopresidentehavanacomprealegrebrancacromada100nacional2067101397x600.jpg,128384110,6
Cadeira de Escritório Basic Diretor Fixa Tela Mesh Pr,91.0,49.0,59.0,8.15,https://product-hub-prd.madeiramadeira.com.br/3338385/images/3685eb3a-5106-4eb2-b874-14edb4d29a6b75377248cadeiraescritoriobasicdiretorfixatelameshpretabasecromadafdb1144pr5891600x600.jpg,242545039,32
Cadeira Gamer São Paulo SPFC 3316 Espresso Móveis Pre,106.0,46.0,53.0,13.88,https://product-hub-prd.madeiramadeira.com.br/775824/images/f26b5197-0db6-492f-ba70-c7ed9e89bc93avermelha1657021297198zoom.jpg,1465430994,8
Cadeira de escritório Presidente Johnson Healer Preta,122.0,58.0,50.0,16.6,https://product-hub-prd.madeiramadeira.com.br/2263655/images/160d6ef6-9382-4d03-8ec6-a271dfbc99807d9e34f75794363073ce63370f.jpg,1983430960,25
Cadeira de Escritório Presidente Confort Plus - BRS D,52.0,111.0,88.0,12.0,https://product-hub-prd.madeiramadeira.com.br/120114321/images/c0c0e9bf-e128-4615-b9d0-80f3c739108facdac6315191459775confplus.jpg,931587012,58
Cadeira Monobloco Allegra Preta Preto</h1>,68.0,48.0,111.0,10.0,https://product-hub-prd.madeiramadeira.com.br/4001871/images/aad5bb89-59f5-423d-bcc8-a24438e4457456235791cadeiramonoblocoallegrapretaf91500142271600x600.jpg,244489865,68
Cadeira Gamer Palmeiras SEP 3318 Espresso Móveis Verd,127.0,46.0,66.0,12.5,https://product-hub-prd.madeiramadeira.com.br/775840/images/924c3597-fae5-4c48-b067-e0e75076ae40rdebranca1656963287200zoom.jpg,1488964401,52
Cadeira Escritório Diretor Giratória Kopenhagen Frati,100.0,61.0,60.0,16.0,https://product-hub-prd.madeiramadeira.com.br/813278/images/813278_1.jpg,1810909005,41
Cadeira de Escritório Presidente Brizza Braços 3D Bac,84.0,81.0,68.0,6.0,https://product-hub-prd.madeiramadeira.com.br/3438682/images/ef9e420d-e858-4cc4-832d-f8ae167061df57900795cadeiradeescritoriopresidentebrizzabraco3dbackplaxrevestimentocouroecologicopretoplaxme800269471409x600.jpg,150994412,97
Cadeira de Escritório Giratória Presidente Classic Pr,120.0,62.0,65.0,13.0,https://product-hub-prd.madeiramadeira.com.br/3654308/images/8b4d61ed-d2e5-4ac3-83c4-5e78ec4a6d9615922328cadeiraescritoriopresidenteclassic100nacionalpretosku165v19967101600x600.jpg,125797060,6
Cadeira de Escritório Presidente em Corino Base Preta,121.0,59.0,51.0,13.0,https://product-hub-prd.madeiramadeira.com.br/825011/images/825011_1.jpg,829680567,78
Cadeira de Escritório Nelis Giratória - Preta Preto</,93.0,58.0,53.0,8.0,https://product-hub-prd.madeiramadeira.com.br/487286166/images/40e53bae-db64-40b2-a98a-16fc9393e5220658af61standardresolution.jpg,422098091,56
Cadeira Gamer Mx1 Giratória Preta/Vermelha - Mymax Pr,112.0,65.0,70.0,17.5,https://product-hub-prd.madeiramadeira.com.br/2372102/images/45505776-75d2-4e5e-ac53-71407f444550dfc0bacbc6fd48d988d5224cb5d5e6ba41115371cadeiragamermx1giratoriapretavermelhamymaxean789855498339811000x1000.jpg,617406973,72
Cadeira Presidente Capa de Madeira Preto</h1>,53.0,84.0,127.0,13.0,https://product-hub-prd.madeiramadeira.com.br/768539363/images/80634d09-157f-4f34-8371-187bf008877d385843a37abc9cabcc08138ab4.jpg,214330767,50
Cadeira Dkr Charles Eames Wood Estofada Botonê - Bran,84.0,44.0,43.0,14.0,https://product-hub-prd.madeiramadeira.com.br/1032265/images/7eaa8750-e4eb-4bb6-9664-0820073a62b8estofadabotonebranco186131.jpg,480602306,75
Cadeira Eames Base de Madeira Or Design Branco</h1>,80.5,46.5,42.0,4.62,https://i.ytimg.com/vi_webp/qVizmo6jjyI/sddefault.webp,60535433,80
Cadeira para Escritório Ergonômica Giratória Operativ,109.0,49.0,58.0,15.47,https://product-hub-prd.madeiramadeira.com.br/653360/images/653360_1.jpg,656086693,28
Cadeira de Escritório Diretor Reclinável com Relax Cl,97.0,60.0,46.0,9.77,https://product-hub-prd.madeiramadeira.com.br/2263658/images/770a989b-6022-4e3b-88b8-e9f80c48929d22636581.jpg,2083868741,98
Cadeira Diretor Charles Eames Esteirinha Couro Pu 11D,96.0,47.0,47.0,10.0,https://product-hub-prd.madeiramadeira.com.br/356565646/images/eb09bbe7-6d86-4663-82eb-cf6dbbac803c120050924771015preta1.jpg,681381135,7
Cadeira Escritório Stripes Presidente PU Nude Base Gi,51.0,67.0,88.0,4.0,https://product-hub-prd.madeiramadeira.com.br/105304142/images/f62ecfd4-9556-4b41-95a5-679b7e16b14ea498cf468cb28a7f388f0010c4.jpg,718669798,18
Cadeira Presidente em Tela Mesh Pel-7010H Preta Desig,120.0,43.0,48.0,12.0,https://product-hub-prd.madeiramadeira.com.br/1447378/images/c6776629-2e1d-4e77-8fed-715d6243307958913294cadeirapresidenteemtelameshpel7010hpretadesigncharleseames78986259807141600x600.jpg,236724817,89
Cadeira de Escritório Giratória Presidente Day Preta ,109.0,62.0,62.0,8.0,https://product-hub-prd.madeiramadeira.com.br/2773061/images/94a08dae-4845-4629-adbb-fae2f23b864b88571870cadeiraescritoriodaycomprealegrecomrelaxpreta100nacional0567101380x600.jpg,124175394,6
Cadeira para Escritório Presidente Estofada Giratória,114.0,54.0,54.0,17.0,https://product-hub-prd.madeiramadeira.com.br/2494638/images/4317eeaa-1fee-43f2-be51-87feff19fe9494078442cadeiragiratoriaparaescritorioofficeconfortlyamdecor79081440578701600x600.jpg,211881469,50
Cadeira de Escritório Presidente Brizza Com Braço Reg,51.0,84.0,96.0,9.0,https://product-hub-prd.madeiramadeira.com.br/472388824/images/c3eedaf7-f4de-47f4-b6c8-f32abb747f2a151499763161.jpg,317549297,64
Cadeira Presidente Escritório Esteirinha Boston Eames,114.0,48.0,46.0,6.0,https://product-hub-prd.madeiramadeira.com.br/813002944/images/481d9597-3bf2-41a6-b061-c69369ac6124apresidenteesteirinhabege2.jpg,3248272629,92
Cadeira Escritório Giratória Presidente Melbourne Fra,123.0,64.0,69.0,15.5,https://product-hub-prd.madeiramadeira.com.br/833197/images/f2d93c59-ffe5-483a-97d8-7e54f967c20etinipreto1678882225200zoom.jpg,1492366480,52
Cadeira Escritório Diretor Giratória em Couro Palermo,95.0,57.0,60.0,15.0,https://product-hub-prd.madeiramadeira.com.br/815893/images/fbaf0b19-61c4-4243-864b-d7d76059d75ascaramelo1666351545190zoom.jpg,1435251586,44
Cadeira Gamer com Relax e Braço Estofado Raptor 3316 ,117.0,60.0,51.0,13.88,https://product-hub-prd.madeiramadeira.com.br/654473/images/654473_1_amb.jpg,522194181,83
"Cadeira Gamer TGT Heron, RGB, Preto, TGT-HR-RGB01 Pre",125.0,50.0,48.0,23.0,https://product-hub-prd.madeiramadeira.com.br/794548695/images/3f88d8f2-ae6b-4a7f-b4bc-562647b66927c707b0d9b12d0f77af61e81ec1.jpg,638015400,63
Cadeira Presidente em Couro PU PEL-C2652 Preta com Ma,119.0,33.0,80.0,19.0,https://product-hub-prd.madeiramadeira.com.br/1541477/images/526ec873-50e1-404c-bdb5-c70f2f4765a1sagem78986259807831600x543.jpg,208397490,50
Cadeira Gamer Fox Racer Preta com Iluminacão Rgb (Led,54.0,52.0,96.0,16.0,https://product-hub-prd.madeiramadeira.com.br/3380598/images/589f3ccd-022f-439e-9274-76a391283a9533140262cadeiragamerfoxracerpretacomiluminacaorgbled3395631600x600.jpg,216218426,50
Cadeira em Madeira Tauari Ediane Yescasa Fendy</h1>,81.0,50.0,55.0,85.0,https://product-hub-prd.madeiramadeira.com.br/821211/images/821211_1.jpg,446576040,30
Cadeira Presidente em Couro Pu Pelegrin Pel-2043 Pret,120.0,52.0,52.0,10.0,https://product-hub-prd.madeiramadeira.com.br/1500365/images/3499ad1d-285e-4514-a4ea-9dee4e85c12f93938346cadeirapresidenteemcouropupelegrinpel204378986259848351600x600.jpg,213576841,50
Cadeira Gamer FOX Racer RGB Branca com Iluminação (Le,84.0,118.0,52.0,6.0,https://product-hub-prd.madeiramadeira.com.br/869176228/images/778dba59-cd67-4ef9-896a-6235e7f25cdcstandardresolution.jpg,705424423,57
Cadeira de Escritório Interlocutor Dakar Preta Base F,76.0,44.0,52.0,9.0,https://product-hub-prd.madeiramadeira.com.br/4825447/images/33ceb181-7df9-4c52-ac3d-63d27429a5f855368643cadeiraescritoriointerlocutordakarpretabasefixacromadafd7762pr67711600x600.jpg,252829361,46
Cadeira Escritório Stripes Diretor PU Nude Base Girat,96.0,81.0,53.0,13.0,https://product-hub-prd.madeiramadeira.com.br/650002320/images/dd62162e-b6b5-4a7e-92fe-7659c137719354332a42c0b62b5aec24e411bb.jpg,726756194,18
Cadeira Escritório Esteirinha Caramelo - P-720 Preto<,127.0,127.0,58.0,9.0,https://product-hub-prd.madeiramadeira.com.br/535755254/images/fef75778-de1e-4224-bfd7-23594a32b30feb7c7231standardresolution.jpg,670303368,61
Cadeira de Escritório Presidente Brizza Nr17 com Meca,54.0,52.0,127.0,19.0,https://product-hub-prd.madeiramadeira.com.br/3743451/images/a8e89e4a-a229-459c-b93d-e95318ccea2139033179cadeiraescritoriopresidentebrizzanr17commecanismorelaxassentopoliesterplaxmetalpreta306100011878451403x600.jpg,150266632,97
Cadeira Fixa Interlocutor Charles Eames Esteirinha 11,91.0,47.0,47.0,10.0,https://product-hub-prd.madeiramadeira.com.br/246738494/images/da459671-6e5a-4024-832a-88147d365a47120012798001013preta1.jpg,661676798,79
Cadeira de Escritório Ergonômica Giratória Areia Prof,127.0,52.0,53.0,16.0,https://product-hub-prd.madeiramadeira.com.br/574714719/images/1632f24b-20c9-4c3a-ab15-a24ea35b9f2255002016604103131660410313.jpg,729560349,18
Cadeira Gamer com Rodízios PU Hawker 3315 OR Design P,1.27,66.0,58.0,9.6,https://product-hub-prd.madeiramadeira.com.br/714464/images/714464_1.jpg,810027428,2
Cadeira Lisboa Office Presidente Marrom Marrom</h1>,122.0,63.0,61.0,9.0,https://product-hub-prd.madeiramadeira.com.br/972818486/images/212ef259-ce76-4ac3-afdf-49ada00f7272standardresolution.jpg,674731182,61
Cadeira para Escritório Interlocutor Esteirinha Manha,89.0,56.0,60.0,14.0,https://product-hub-prd.madeiramadeira.com.br/328510/images/328510_6.jpg,2477358490,26
Cadeira Gamer De Escritório Giratoria Confortável Mym,127.0,72.0,75.0,21.0,https://product-hub-prd.madeiramadeira.com.br/780982870/images/f5480360-97f8-4399-8c4f-14ed184ccae2151569625660091731.jpg,631420896,12
Cadeira de Escritório Presidente Day Marrom Relax 100,88.0,62.0,62.0,14.0,https://product-hub-prd.madeiramadeira.com.br/4677979/images/4677979_1.jpg,212687662,50
Kit 4 Cadeiras Para Escritório Fixa Interlocutor Crom,81.0,43.0,39.0,3.39,https://product-hub-prd.madeiramadeira.com.br/818382/images/7f05aacc-c4fd-4bed-837b-396c175a19c5ubaipreto1667825475200zoom.jpg,1581481888,70
Cadeira Gamer MX6 Giratória Azul e Preto Mymax Azul/P,142.0,73.0,76.0,21.0,https://product-hub-prd.madeiramadeira.com.br/241825930/images/c22d6568-acd8-4337-8009-ba5e55c712cb0091791.jpg,661583815,79
Cadeira para Escritório Presidente Estofada em Corino,107.0,65.0,65.0,15.34,https://product-hub-prd.madeiramadeira.com.br/714328/images/4791f925-3647-4961-a9c7-43b5a9f1c10asignfendi1645798679200zoom.jpg,1538803051,38
"Cadeira TGT Office TS200, Preto, TGT-TS2-01 Preto+Pra",127.0,81.0,111.0,12.0,https://product-hub-prd.madeiramadeira.com.br/386086894/images/c6947f6f-dabd-4e3d-828c-3c3438390451standardresolution.jpg,408705003,93
Cadeira Executiva ALTA Costurada Giratória c/ Braços ,200.0,200.0,200.0,15.0,https://product-hub-prd.madeiramadeira.com.br/476481943/images/c0a5e2ab-6dfd-4139-b90d-28e0dfaaf1663749940858458129918600x600.jpg,235515254,89
Cadeira de Escritório Presidente Pelegrin PEL-8009 Gi,115.0,48.0,84.0,8.0,https://product-hub-prd.madeiramadeira.com.br/1506645/images/b6687cab-6b74-4ebb-9ec7-53145829328a28a3de0e66cf2205083799715d.png,0,10
Cadeira para Escritório Presidente Tela Mesh Corino 3,110.5,61.0,51.0,12.0,https://i.ytimg.com/vi_webp/QReABZtEMPg/sddefault.webp,187649570,82
Cadeira de Escritório Alta Esteirinha Corino Base Rod,113.0,47.0,47.0,12.0,https://product-hub-prd.madeiramadeira.com.br/1021507/images/acd34559-306a-4423-be57-e3388e18f86874854647cadeiraparaescritorioaltaesteirinhacorinobaserodizio3301ordesign78985992216221600x600.jpg,230142690,0
Cadeira Presidente Luxo com Massagem Fox Office C2652,96.0,51.0,58.0,11.0,https://product-hub-prd.madeiramadeira.com.br/3380592/images/55755c0e-d95c-40be-8559-e4a78289042ec589b45a546615184eee02f5e4.png,0,10
Cadeira de Escritório Presidente Brizza Braço 3D Auto,68.0,52.0,52.0,11.0,https://product-hub-prd.madeiramadeira.com.br/260985861/images/8f54ac88-8202-4634-b6f6-1d594cd2918614132040487frontal1.png,0,10
Cadeira para Escritório Diretor com Relax Milão 3314 ,90.0,60.0,49.0,12.0,https://i.ytimg.com/vi_webp/Qpgb5UPKI74/sddefault.webp,133779095,71
Cadeira de Escritório Charles Eames Esteirinha Baixa ,91.0,54.0,59.0,8.0,https://product-hub-prd.madeiramadeira.com.br/1702477/images/2d310f4d-c338-4e1f-b2c8-b35b00c7c93d12380373cadeiradeescritorioesteirinhabaixapretacombraco78985992242341600x600.jpg,236749808,89
Cadeira Escritório Presidente Munique Preta 4535 - Mo,132.0,53.0,56.0,12.0,https://product-hub-prd.madeiramadeira.com.br/3359044/images/1a41ddd8-20f2-4446-85a6-5ff95dc487a5ad24a8c602872bf73763926717.jpg,626617842,12
Cadeira Presidente Escritório Giratória Fox Office C1,66.0,118.0,66.0,12.0,https://product-hub-prd.madeiramadeira.com.br/96852810/images/520cccb3-ad16-4a58-a130-9b1a7d60436cstandardresolution.jpg,725333861,18
Cadeira Gamer MX0 Giratoria Escritorio Mymax:Branco/Ú,113.0,63.0,72.0,16.5,https://product-hub-prd.madeiramadeira.com.br/623171903/images/623171903_1.jpg,844321168,78
Cadeira Secretária Fixa Pé Palito Jserrano Preto para,85.0,43.0,39.0,12.0,https://product-hub-prd.madeiramadeira.com.br/4472808/images/c2aa9fb0-6a22-45db-b1ed-e9d06d23c9fe33158645cadeirasecretariafixapepalitojserranopretoparaescritorio336050126441598x600.jpg,241462122,32
Cadeira para Escritório Interlocutor Esteirinha Flore,94.0,55.0,52.0,11.0,https://product-hub-prd.madeiramadeira.com.br/654479/images/654479_1.jpg,865729057,29
Cadeira Eiffel Office Base Giratória - Cinza Cinza</h,84.0,50.0,42.0,5.0,https://product-hub-prd.madeiramadeira.com.br/820959246/images/4932e2c1-1db0-4cc4-9c9e-30d628056c6cstandardresolution.jpg,726930759,18
Cadeira De Escritório Giratoria Eames Branca -Gold:Do,127.0,88.0,52.0,9.0,https://product-hub-prd.madeiramadeira.com.br/846405687/images/afc48db5-5b6d-43f9-9478-e6eda6216152fe620e91aaf24e6b9594f9e65b.jpg,616138990,72
Cadeira Executiva COSTURADA Giratória sem Braços – Co,200.0,200.0,200.0,7.0,https://product-hub-prd.madeiramadeira.com.br/740972205/images/2490bd40-cfc4-48a3-b4da-1c592a4cbef259932002capa11600x600copia.jpg,228084542,0
Cadeira para Escritório Estofada Poltrona Decorativa ,60.0,66.0,64.0,15.0,https://product-hub-prd.madeiramadeira.com.br/4752768/images/e772abbc-69ea-4efe-af57-c4413d0cfb0b18310435poltronajulianagiratoriacromadamq5540jla107551400x600.jpg,162578972,16
"Cadeira Office Eames Esteirinha Alta Giratória, Or-33",68.0,96.0,53.0,15.52,https://product-hub-prd.madeiramadeira.com.br/2260730/images/10ebc453-6832-427b-a3c3-f43d488a26c554222570cadeiraofficeeamesesteirinhaaltagiratoriaor3301ordesignfendi79730812801600x600.jpg,248280875,68
Cadeira Secretária Pé Palito Preto Preto</h1>,58.0,81.0,52.0,4.7,https://product-hub-prd.madeiramadeira.com.br/3392707/images/3d61c8da-ba35-4bd9-a420-139812ac4e3c28261288cadeirasecretariapepalitopretoag413s1052041600x600.jpg,237553804,32
Cadeira de Escritório Presidente Monique Big Executiv,122.0,64.0,76.0,13.0,https://product-hub-prd.madeiramadeira.com.br/4369740/images/8cf32300-702c-4166-ae2b-2a5031b86a629b06942aaeffd7901f1dd6d6f2.png,724401028,18
Cadeira Office Eiffel Botonê Base Giratória - Preta P,85.0,44.0,38.0,5.0,https://product-hub-prd.madeiramadeira.com.br/2666104/images/8c3fab9b-4a02-49b7-9b93-d33071df64d581346758cadeiraofficeeiffelbotonebasegiratoriapreta79080672234511600x600.jpg,249266097,46
Cadeira Presidente Prizi Cinza - Y-707 Cinza</h1>,84.0,53.0,84.0,15.0,https://product-hub-prd.madeiramadeira.com.br/580130032/images/bf3ab0cc-18a9-49f1-a4da-790affb1c520d558df03standardresolution.jpg,663420342,79
Cadeira Escritorio Executiva Giratoria Premium Prata ,100.0,56.0,58.5,15.0,https://product-hub-prd.madeiramadeira.com.br/589356893/images/40304a16-849c-4a21-b164-a3a162582475151571027450103201.jpg,635027799,63
Cadeira Presidente Bix Tela-8000 Preto</h1>,103.0,56.0,45.0,7.0,https://product-hub-prd.madeiramadeira.com.br/3438673/images/46a93747-2ec3-4940-b325-89e85289427a21626432cadeirapresidentebixtela8000sku7169471600x600.jpg,246095284,68
Cadeira para Escritório Presidente Estofada com Apoio,123.0,54.0,47.0,16.0,https://product-hub-prd.madeiramadeira.com.br/522913641/images/75c94365-7d1f-4327-ae0c-4b0ac899e1d54c5d22cd712d840e6b9683d919.jpg,654317914,28
Cadeira Diretor Boston Giratória com Regulagem de Alt,98.0,50.0,48.0,8.5,https://product-hub-prd.madeiramadeira.com.br/2950290/images/08647fed-de48-4311-a87d-b206c0ba96d229040619cadeiradiretorbostongiratoriacomregulagemdealturaagasesteirinhacaramelo1196965371600x600.jpg,235848218,89
Cadeira para Escritório Presidente NR17 Office 3317 O,111.0,59.5,52.0,12.5,https://i.ytimg.com/vi_webp/Qpgb5UPKI74/sddefault.webp,133779095,71
Cadeira Presidente Office tela Mesh Classic Slim W-58,88.0,88.0,118.0,15.0,https://product-hub-prd.madeiramadeira.com.br/132041339/images/504a51ab-5256-4381-bb6b-6737e80232e01370475619613861.jpg,943405864,13
Cadeira Presidente Escritório Brizza NR 17 Mecanismo ,111.0,53.0,96.0,3.0,https://product-hub-prd.madeiramadeira.com.br/913796695/images/3aa5b111-eab1-4bc7-b2a2-5c622a5c1216151483179752.jpg,250739148,46
Cadeira de Escritório Decorativa em Corino e Madeira ,83.0,51.0,54.0,9.6,https://product-hub-prd.madeiramadeira.com.br/717803/images/1b05c2e3-2a99-449d-ab79-b0937e2c5224ttimoveis1649940341200zoom.jpg,1452150151,94
Cadeira de Escritório Diretor Viena Giratória com Rel,95.0,55.0,55.0,9.2,https://product-hub-prd.madeiramadeira.com.br/2950299/images/4cca2303-c800-4838-ab9f-664495acacb623760821cadeiradeescritorioexecutivavienagiratoriacomregulagemdealturaagastelada1197165371600x600.jpg,208516251,50
Cadeira de Escritório Presidente com NR17 Brizza Plax,121.0,66.2,45.0,15.86,https://product-hub-prd.madeiramadeira.com.br/3232980/images/5f5021aa-e3aa-4587-8513-8837cb4f4cf353881632cadeiraparaescritoriopresidentebrizzaplaxmetal64309311600x600.jpg,226409253,0
Cadeira Empilhável Fixa para Escritório Preta - Masti,200.0,200.0,200.0,50.0,https://product-hub-prd.madeiramadeira.com.br/585697525/images/ea24e758-0b13-479a-921f-7a6f2a5a737c4b865d140f11a5151743532631.jpg,434276091,91
Cadeira Escritório Presidente Adrix Plaxmetal Mecanis,79.0,25.0,59.0,5.0,https://product-hub-prd.madeiramadeira.com.br/112207194/images/b602b689-8cdf-4162-a1ca-0445d8fdb057residentecomapoiodecabeca.jpeg,1065739110,5
"Cadeira Gamer Pichau Omega S, Preta e Cinza, PG-OMG-B",138.0,66.0,50.0,6.0,https://product-hub-prd.madeiramadeira.com.br/900839193/images/a5763f7b-06c5-4ab3-b309-60f07a8d2425aa91fa4fstandardresolution.jpg,400594449,14
Cadeira Presidente Confort em Couro Pu Giratória P Pr,121.0,53.0,49.0,17.5,https://product-hub-prd.madeiramadeira.com.br/2176181/images/be980edc-30cc-4a4b-b580-52b60266901118420478cadeirapresidenteconfortemcouropugiratoriapcadpresconfort12301600x600.jpg,216884062,50
Cadeira Polipropileno Wishbone Verde Escuro</h1>,72.0,52.0,52.0,4.0,https://product-hub-prd.madeiramadeira.com.br/848554/images/848554_1.JPG,512031896,83
Cadeira Gamer Couro Giratória TR-MAX - Branca Branco/,51.0,84.0,84.0,14.0,https://product-hub-prd.madeiramadeira.com.br/830921024/images/a6786af2-c793-43e6-8def-acacc65b04b335553b267dfabcc5cf169a51c5.jpg,555983688,43
Cadeira Executiva Back System COSTURADA com Braços Re,200.0,200.0,200.0,15.0,https://product-hub-prd.madeiramadeira.com.br/906272079/images/06696807-80c2-495b-850c-1f79df0817fd333612421600505img930copia.jpg,1044659854,65
Cadeira Para Escritório E Home Office Zara Base Girat,96.0,58.0,58.0,14.0,https://product-hub-prd.madeiramadeira.com.br/558115470/images/4f1c1af6-68db-4779-9380-1359d1f28d2fbc8a2e2eadb5aff255751x1063.jpg,503584256,48
